 variables ="x","u","ue","error"
 zone T=           1
   1.6689710972195777       -2.3004140974072534E-002  -2.0921976196711420E-002  -2.0821647773611139E-003
   1.7671458676442586       -3.8346958917078768E-002  -3.5843330861087590E-002  -2.5036280559911778E-003
   1.8653206380689396       -5.2244588361346482E-002  -4.9387246421643549E-002  -2.8573419397029329E-003
   1.9634954084936207       -6.4152045690147888E-002  -6.1033237798902754E-002  -3.1188078912451345E-003
   2.0616701789183018       -7.3600362663413965E-002  -7.0333756075384099E-002  -3.2666065880298661E-003
   2.1598449493429825       -8.0215153861510416E-002  -7.6931387549513286E-002  -3.2837663119971300E-003
   2.2580197197676637       -8.3731585888940516E-002  -8.0572588943733883E-002  -3.1589969452066324E-003
   2.3561944901923448       -8.4005162298002395E-002  -8.1117430930475229E-002  -2.8877313675271660E-003
   2.4543692606170260       -8.1017900816596752E-002  -7.8544975537737774E-002  -2.4729252788589784E-003
   2.5525440310417071       -7.4879659144876029E-002  -7.2954080783614803E-002  -1.9255783612612265E-003
   2.6507188014663878       -6.5824555297543885E-002  -6.4559601618097401E-002  -1.2649536794464844E-003
   2.7488935718910690       -5.4202620742822283E-002  -5.3684133167838176E-002  -5.1848757498410697E-004
   2.8470683423157501       -4.0467011797805437E-002  -4.0745613586347651E-002   2.7860178854221401E-004
   2.9452431127404308       -2.5157279393732149E-002  -2.6241262925137211E-002   1.0839835314050625E-003
   3.0434178831651120       -8.8793523677808857E-003  -1.0728475245983471E-002   1.8491228782025852E-003
   3.1415926535897931        7.7169814682445329E-003   5.1966017202751827E-003   2.5203797479693502E-003
   3.2397674240144743        2.3962214446953119E-002   2.0921976196711479E-002   3.0402382502416406E-003
   3.3379421944391554        3.9191933990688904E-002   3.5843330861087576E-002   3.3486031296013283E-003
   3.4361169648638361        5.2771344906473727E-002   4.9387246421643542E-002   3.3840984848301850E-003
   3.5342917352885173        6.4118545863121462E-002   6.1033237798902698E-002   3.0853080642187641E-003
   3.6324665057131984        7.2725661208574641E-002   7.0333756075384099E-002   2.3919051331905417E-003
   3.7306412761378791        7.8177020576115586E-002   7.6931387549513286E-002   1.2456330266022997E-003
   3.8288160465625602        8.0163703334751993E-002   8.0572588943733883E-002  -4.0888560898189041E-004
   3.9269908169872414        7.8493917728659393E-002   8.1117430930475229E-002  -2.6235132018158358E-003
   4.0251655874119221        7.3098859088264620E-002   7.8544975537737802E-002  -5.4461164494731817E-003
   4.1233403578366037        6.4033880292827833E-002   7.2954080783614803E-002  -8.9202004907869697E-003
   4.2215151282612844        5.1475002486508492E-002   6.4559601618097401E-002  -1.3084599131588909E-002
   4.3196898986859651        3.5710986273672397E-002   5.3684133167838238E-002  -1.7973146894165841E-002
   4.4178646691106467        1.7131364627979286E-002   4.0745613586347665E-002  -2.3614248958368379E-002
   4.5160394395353274       -3.7889996490780885E-003   2.6241262925137218E-002  -3.0030262574215306E-002
   4.6142142099600090       -2.6508134233958935E-002   1.0728475245983408E-002  -3.7236609479942340E-002
   4.7123889803846897       -5.0437155626793705E-002  -5.1966017202751723E-003  -4.5240553906518530E-002
   4.8105637508093704       -7.4961580891599044E-002  -2.0921976196711402E-002  -5.4039604694887639E-002
   4.9087385212340520       -9.9462862197349303E-002  -3.5843330861087569E-002  -6.3619531336261734E-002
   5.0069132916587327      -0.12333926451596790       -4.9387246421643535E-002  -7.3952018094324362E-002
   5.1050880620834143      -0.14602524463094477       -6.1033237798902733E-002  -8.4992006832042027E-002
   5.2032628325080950      -0.16700852432466404       -7.0333756075384085E-002  -9.6674768249279952E-002
   5.3014376029327757      -0.18584399711169519       -7.6931387549513286E-002 -0.10891260956218191     
   5.3996123733574573      -0.20216322206711315       -8.0572588943733883E-002 -0.12159063312337927     
   5.4977871437821380      -0.21567683590837475       -8.1117430930475229E-002 -0.13455940497789953     
   5.5959619142068187      -0.22616272701930729       -7.8544975537737802E-002 -0.14761775148156947     
   5.6941366846315002      -0.23341945685415003       -7.2954080783614803E-002 -0.16046537607053524     
   5.7923114550561809      -0.23712570710764461       -6.4559601618097415E-002 -0.17256610548954721     
   5.8904862254808616      -0.23643612103344980       -5.3684133167838238E-002 -0.18275198786561156     
   5.9886609959055432      -0.22883254609671938       -4.0745613586347672E-002 -0.18808693251037170     
   6.0868357663302239      -0.20688008431569352       -2.6241262925137229E-002 -0.18063882139055629     
   6.1850105367549055      -0.14913004467517141       -1.0728475245983417E-002 -0.13840156942918799     
   6.2831853071795862        5.1966017202751645E-003   5.1966017202751645E-003   0.0000000000000000     
 variables ="x","u","ue","error"
 zone T=           3
