variables ="k","rms","rms/rms0"
55 0.0009387231132078228 1.2490125176934203e-5 
56 0.0007779201241588749 1.0350570462889475e-5 
57 0.0006446626340812947 8.577520765470803e-6 
58 0.0005342321100027847 7.108193921709925e-6 
59 0.000442718301067142 5.890562318799594e-6 
60 0.0003668807804550457 4.881510648263272e-6 
61 0.0003040342050832937 4.045309235631142e-6 
62 0.00025195323009950636 3.352348885841321e-6 
63 0.00020879371140021397 2.7780924479783162e-6 
64 0.00017302740614626774 2.302205976821056e-6 
65 0.0001433878590318192 1.9078387257771984e-6 
66 0.0001188255581227748 1.5810264755289505e-6 
67 9.847077257619472e-5 1.3101970734940271e-6 
68 8.160275618729244e-5 1.0857606734313772e-6 
69 6.762422638878616e-5 8.997701672679318e-7 
70 5.604021490448056e-5 7.456397837136189e-7 
71 4.6440541404396246e-5 6.179118925104049e-7 
72 3.8485289359169954e-5 5.120637542671734e-7 
73 3.189276980377045e-5 4.243473730256934e-7 
74 2.6429547048817853e-5 3.5165678394916076e-7 
75 2.190217286078389e-5 2.914180729429622e-7 
76 1.815033662512672e-5 2.41498236553101e-7 
77 1.5041188922997349e-5 2.0012965464989198e-7 
78 1.2464637357421887e-5 1.6584749931987966e-7 
79 1.0329448392945599e-5 1.374378681224712e-7 
80 8.56001670104242e-6 1.1389479880527589e-7 
81 7.093688179812507e-6 9.438465090012274e-8 
82 5.878541332173839e-6 7.821658598106512e-8 
83 4.871548802420792e-6 6.481810609717982e-8 
84 4.037053833419182e-6 5.37147823633746e-8 
85 3.3455076054081334e-6 4.451345469607296e-8 
86 2.772423066173854e-6 3.6888312062115956e-8 
87 2.2975077571764743e-6 3.0569354347791054e-8 
88 1.903945297498617e-6 2.533283218576532e-8 
89 1.5777999935897565e-6 2.0993325025053632e-8 
90 1.307523290295833e-6 1.7397174244218597e-8 
91 1.083544898025891e-6 1.4417042917931854e-8 
92 8.979339552953838e-7 1.1947407435120904e-8 
93 7.441181160431896e-7 9.900819831785983e-9 
94 6.166508868127489e-7 8.204812109546483e-9 
95 5.110187557905124e-7 6.799330002404675e-9 
96 4.2348138195612207e-7 5.6346066228818316e-9 
97 3.509391451537764e-7 4.669400157282099e-9 
98 2.908233541322141e-7 3.86953303522531e-9 
99 2.4100540066777346e-7 3.2066831851739552e-9 
100 1.997212372883885e-7 2.657379177231239e-9 
101 1.6550903872142448e-7 2.2021707812013576e-9 
102 1.3715739152173334e-7 1.824939606732533e-9 
103 1.1366236362964011e-7 1.512327894845519e-9 
104 9.419203483335315e-8 1.2532665800871466e-9 
105 7.805696811035714e-8 1.0385823986997973e-9 
106 6.468582536456751e-8 8.606734452461341e-10 
107 5.3605167441599144e-8 7.132404029002144e-10 
108 4.442261985469282e-8 5.910625560038168e-10 
109 3.6813030265100034e-8 4.89813609235775e-10 
110 3.0506969206626153e-8 4.0590868467865313e-10 
111 2.5281126930153535e-8 3.363765475983047e-10 
