x,y,f,u,ue,e
x,y,f,u,ue,e
0.25,0.1875,-7.7544984192,0.3931631627,0.3928474792,0.0003156835
0.28125,0.1875,-8.4772321495,0.4298067035,0.4294615977,0.0003451058
0.3125,0.1875,-9.1183255001,0.4623109707,0.4619397663,0.0003712045
0.34375,0.1875,-9.6716043916,0.4903629307,0.4899692023,0.0003937283
0.375,0.1875,-10.1317404457,0.5136924275,0.5132799672,0.0004124603
0.40625,0.1875,-10.4943023008,0.5320747854,0.5316475653,0.0004272201
0.4375,0.1875,-10.7557982879,0.5453329723,0.5448951068,0.0004378655
0.46875,0.1875,-10.9137100578,0.5533393046,0.5528950105,0.0004442941
0.5,0.1875,-10.9665168338,0.5560166769,0.555570233,0.0004464438
0.53125,0.1875,-10.9137100578,0.5533393046,0.5528950105,0.0004442941
0.5625,0.1875,-10.7557982879,0.5453329723,0.5448951068,0.0004378655
0.59375,0.1875,-10.4943023008,0.5320747854,0.5316475653,0.0004272201
0.625,0.1875,-10.1317404457,0.5136924275,0.5132799672,0.0004124603
0.65625,0.1875,-9.6716043916,0.4903629307,0.4899692023,0.0003937283
0.6875,0.1875,-9.1183255001,0.4623109707,0.4619397663,0.0003712045
0.71875,0.1875,-8.4772321495,0.4298067035,0.4294615977,0.0003451058
0.75,0.1875,-7.7544984192,0.3931631627,0.3928474792,0.0003156835
0.78125,0.1875,-6.9570846301,0.3527332457,0.3524500247,0.000283221
0.8125,0.1875,-6.0926703128,0.3089063147,0.3086582838,0.0002480309
0.84375,0.1875,-5.1695802498,0.2621044471,0.2618939949,0.0002104522
0.875,0.1875,-4.1967043031,0.2127783704,0.2126075237,0.0001708467
0.90625,0.1875,-3.1834117997,0.1614031216,0.1612735258,0.0001295958
0.9375,0.1875,-2.1394613005,0.1084734725,0.1083863757,8.70968720818E-05
0.96875,0.1875,-1.0749066194,0.0544991646,0.0544554055,4.37591483009E-05
1,0.1875,-1.3E-15,1E-16,1E-16,0
0,0.21875,0,0,0,0
0.03125,0.21875,18.5117968569,0.0574122404,0.0582751656,-0.0008629252
0.0625,0.21875,-2.4430032426,0.1238634441,0.1237639901,0.000099454
0.09375,0.21875,-23.3742758854,0.1891217751,0.1880608997,0.0010608753
0.125,0.21875,-4.7921232407,0.2429668855,0.2427717995,0.000195086
0.15625,0.21875,13.8361801705,0.2944720919,0.295144674,-0.0006725821
0.1875,0.21875,-6.9570846301,0.3527332457,0.3524500247,0.000283221
0.21875,0.21875,-27.6833489025,0.4075973855,0.406361089,0.0012362965
0.25,0.21875,-8.8546891587,0.4489442651,0.4485837932,0.0003604719
0.28125,0.21875,10.0592460822,0.485967566,0.4864863902,-0.0005188242
0.3125,0.21875,-10.4120129487,0.5279026082,0.527478738,0.0004238701
0.34375,0.21875,-30.7829986031,0.5647536596,0.5633911773,0.0013624824
0.375,0.21875,-11.5692089202,0.5865739501,0.5861029708,0.0004709793
0.40625,0.21875,7.7559985689,0.6027452127,0.6031702723,-0.0004250596
0.4375,0.21875,-12.281806681,0.622703584,0.6222035951,0.0004999889
0.46875,0.21875,-32.2013314187,0.6366649794,0.6352447571,0.0014202223
